NN_mean,NN_skew,NN_kurt,RMSSD,pNN50,SD1/SD2
874.124857496747,-0.841497851508075,4.79201418388239,17.4551478358299,0.0184824902723735,0.281417817278209
857.119502493377,-0.72105593785437,3.77716933011261,75.7554031779382,0.350826044703596,0.752963794484429
814.874067490223,-2.16521289049826,9.56812336728166,61.7964610437897,0.187739463601533,0.370265256420192
675.636987491201,0.0146270660823972,5.10736136544845,14.5317473016803,0.00773395204949729,0.302409683640888
753.275586431482,-0.0878810884074562,2.92570397876151,26.0300794261038,0.0497816593886463,0.302721800982287
689.012663857423,0.808285883773389,5.24411731663101,17.2581846283544,0.0128617363344051,0.349464700869561
1035.90745175805,-0.635313902146565,4.11942070107564,130.265716236908,0.519434628975265,0.793043618869239
718.692761707124,-0.126776828404242,2.73345394900718,45.6281945043189,0.222675367047308,0.466583191311753
1078.69653273388,-3.42164824781563,29.2657626057312,56.5328411775896,0.125916870415648,0.321350659814524
642.283652274756,0.375364618212466,3.24700653832476,17.9995869732762,0.010077519379845,0.367581781156934
884.707538144869,-0.645138698845259,6.87131456612197,22.1909245041967,0.0439921208141825,0.565295179866067
780.044172798913,-0.202980889265846,3.39020832523368,63.9852910841051,0.363807728557964,0.564991901152403
800.484704839421,-0.818164100942072,4.27575657413138,29.7938838011207,0.0717571297148114,0.240102579982122
664.239090442044,0.200207155627015,3.70872705060533,14.4410424253592,0.00475737392959087,0.359933764211787
714.799594673642,-0.464291783547119,3.34798661419344,25.0844327275611,0.0444810543657331,0.20022425331694
684.509821232152,1.06551063493803,5.31714336186374,15.0025607147485,0.0144346431435445,0.306820820542348
971.029220096905,-0.383199578341229,2.12869924189083,134.724585601797,0.487584650112867,0.490521228912854
737.939817426133,-0.847445545509684,9.15863173941936,44.6102775023352,0.196588139723802,0.707180908902742
1055.76671835265,0.76890101023094,6.01168873518712,52.2183808209608,0.117169373549884,0.401022589001272
640.00561330392,-0.077029996289874,3.18623111847156,15.9444637324805,0.00981767180925666,0.292265039812601
